irradiance_Wm2;pv_power_kW;sky_state;inclinacion_°;temperatura_ambiental_°C;generacion_W
847,3;30,065;clear;20;20;155,56428
910,9;33,31;clear;45;10;165,109734
941,9;32,608;clear;45;10;170,728794
786,9;32,292;clear;20;10;150,14052
727,1;26,1;clear;45;20;126,820782
586,8;22,533;clear;45;20;102,349656
412,4;16,19;clear;20;20;75,71664
330,5;13,853;clear;20;10;63,0594
117,3;5,99;clear;20;30;20,69172
80,7;0,296;clear;45;20;14,075694
110,6;6,928;clear;20;10;21,10248
25,1;0;clear;45;20;4,377942
0;0;clear;20;20;0
0;0;clear;45;30;0
67;1,18;clear;20;30;11,8188
65,7;3,175;clear;45;30;11,010006
98,6;4,881;clear;45;10;17,872236
135,7;2,517;clear;20;30;23,93748
170,2;4,589;clear;20;10;32,47416
366,6;16,062;clear;20;30;64,66824
462,2;17,698;clear;20;10;88,18776
496,2;19,577;clear;20;20;91,10232
618,6;23,584;clear;20;20;113,57496
855,2;34,053;clear;20;30;150,85728
870,7;33,37;clear;20;10;166,12956
844,7;32,084;clear;45;10;153,110322
812,7;31,851;clear;45;30;136,192266
710,3;26,985;clear;45;30;119,032074
706,4;28,559;clear;45;30;118,378512
504,6;17,674;clear;45;30;84,560868
419,6;17,979;clear;45;20;73,186632
277,1;8,733;clear;20;20;50,87556
202,1;7,427;clear;20;20;37,10556
132;4,295;clear;20;20;24,2352
84,4;2,624;clear;45;10;15,298344
49,6;0,19;clear;45;20;8,651232
0;0;clear;45;20;0
0;0;clear;20;30;0
21,6;0,874;clear;20;30;3,81024
90,5;0;clear;45;30;15,16599
139,5;3,644;clear;20;10;26,6166
98,2;2,416;clear;45;30;16,456356
262,7;12,804;clear;45;30;44,023266
385,1;14,784;clear;20;20;70,70436
446,7;17,284;clear;20;30;78,79788
710,6;28,456;clear;20;10;135,58248
756,7;28,402;clear;20;20;138,93012
878,7;33,659;clear;20;30;155,00268
929,4;36,055;clear;20;20;170,63784
880;34,661;clear;20;30;155,232
873,1;33,31;clear;20;10;166,58748
816,8;32,49;clear;45;10;148,053168
715,5;26,492;clear;45;10;129,69153
592,3;21,142;clear;45;30;99,257634
435,9;13,837;clear;20;20;80,03124
321,9;11,981;clear;20;10;61,41852
206,4;8,234;clear;20;30;36,40896
82,1;1,382;clear;20;30;14,48244
90,1;5,314;clear;45;30;15,098958
0;0;clear;20;20;0
0;0;cloudy;45;30;0
0;0;cloudy;20;20;0
0;0;cloudy;45;10;0
0;0;cloudy;45;20;0
105,3;1,726;cloudy;20;10;20,09124
96,6;3,473;cloudy;20;30;17,04024
63,4;5,515;cloudy;45;10;11,491884
46,1;1,869;cloudy;20;30;8,13204
187,4;7,763;cloudy;20;30;33,05736
302;13,032;cloudy;45;30;50,60916
642,9;25,384;cloudy;45;20;112,134618
323,1;11,882;cloudy;45;30;54,145098
610,4;22,489;cloudy;20;30;107,67456
842,5;31,973;cloudy;45;10;152,71155
569,1;21,88;cloudy;20;10;108,58428
598;24,621;cloudy;20;30;105,4872
495,4;19,834;cloudy;20;10;94,52232
368,9;15,52;cloudy;45;10;66,866814
303,9;12,954;cloudy;20;30;53,60796
342,4;13,531;cloudy;45;30;57,379392
174,7;2,287;cloudy;45;20;30,471174
0;0;cloudy;20;30;0
105,7;4,759;cloudy;20;30;18,64548
0;0;cloudy;20;20;0
0;0;clear;45;10;0
0;0;clear;45;30;0
85;3,449;clear;20;20;15,606
33,1;1,213;clear;45;20;5,773302
57,2;1,074;clear;45;10;10,368072
123,3;4,294;clear;45;30;20,662614
198,9;8,534;clear;45;10;36,052614
238,9;10,795;clear;20;30;42,14196
343,9;13,821;clear;20;30;60,66396
476;18,551;clear;20;10;90,8208
684,3;27,122;clear;20;10;130,56444
783,5;29,515;clear;20;10;149,4918
887,1;36,149;clear;45;10;160,795746
933;35,523;clear;45;20;162,73386
883,3;33,967;clear;20;20;162,17388
809,5;30,874;clear;20;10;154,4526
652,7;25,916;clear;45;20;113,843934
547,7;21,956;clear;45;20;95,529834
435,8;17,238;clear;20;20;80,01288
350,3;12,646;clear;20;20;64,31508
155,6;4,421;clear;45;20;27,139752
108,1;3,629;clear;45;20;18,854802
82,4;3,628;clear;45;30;13,808592
62,8;0;clear;20;10;11,98224
0;0;cloudy;45;10;0
0;0;cloudy;45;30;0
155,8;6,264;cloudy;20;20;28,60488
82,6;2,366;cloudy;20;10;15,76008
163,1;5,402;cloudy;20;30;28,77084
159;4,65;cloudy;45;30;26,64522
208,2;8,115;cloudy;45;30;34,890156
77;2,139;cloudy;20;30;13,5828
145,2;6,209;cloudy;20;30;25,61328
311,6;12,082;cloudy;20;30;54,96624
269,2;12,504;cloudy;45;20;46,953864
546,5;21,08;cloudy;45;20;95,32053
527,8;22,369;cloudy;20;20;96,90408
698,7;25,757;cloudy;20;20;128,28132
416,9;16,631;cloudy;45;20;72,715698
482,8;18,173;cloudy;20;30;85,16592
401,7;12,977;cloudy;20;30;70,85988
372,5;16,225;cloudy;45;20;64,97145
176,1;8,887;cloudy;45;20;30,715362
163,7;6,911;cloudy;45;20;28,552554
134,8;4,543;cloudy;20;20;24,74928
0;0;cloudy;45;20;0
10,8;0;cloudy;20;20;1,98288
120,1;4,865;cloudy;45;30;20,126358
0;0;cloudy;45;30;0
0;0;cloudy;45;30;0
165,5;8,026;cloudy;20;10;31,5774
103,1;4,723;cloudy;20;30;18,18684
138;3,245;cloudy;20;10;26,3304
249,2;10,791;cloudy;45;30;41,760936
123,6;2,998;cloudy;45;30;20,712888
238,2;9,229;cloudy;20;30;42,01848
282,4;11,329;cloudy;20;10;53,88192
472,8;18,089;cloudy;45;10;85,699728
495,7;18,682;cloudy;20;10;94,57956
828,4;31,54;cloudy;20;20;152,09424
425,3;14,928;cloudy;45;30;71,271774
616,7;25,663;cloudy;45;10;111,783042
832,5;31,936;cloudy;20;20;152,847
606,1;23,189;cloudy;45;20;105,715962
240,8;6,207;cloudy;20;10;45,94464
428,6;17,43;cloudy;45;20;74,756412
271,6;11,916;cloudy;45;30;45,514728
244,7;10,803;cloudy;45;10;44,354322
82,9;4,218;cloudy;45;30;13,892382
94,5;5,824;cloudy;45;20;16,48269
0;0;cloudy;45;20;0
0;0;cloudy;45;20;0
0;0;clear;45;10;0
0;0;clear;45;10;0
92,9;2,935;clear;20;20;17,05644
0;0;clear;20;30;0
58,6;0,746;clear;20;10;11,18088
49,4;0,746;clear;45;20;8,616348
196,8;8,155;clear;45;20;34,325856
300,1;10,278;clear;45;30;50,290758
387,8;12,77;clear;45;30;64,987524
521,9;20,882;clear;20;30;92,06316
694,3;28,067;clear;20;10;132,47244
769,9;32,348;clear;45;20;134,285958
769,5;28,044;clear;45;30;128,95281
797,2;28,51;clear;20;10;152,10576
831,9;31,667;clear;45;30;139,409802
717,1;26,359;clear;20;30;126,49644
730,3;28,381;clear;20;20;134,08308
484,1;18,238;clear;20;30;85,39524
282,7;8,745;clear;45;20;49,308534
192;5,55;clear;20;20;35,2512
174,6;8,615;clear;20;30;30,79944
143,8;4,148;clear;45;30;24,098004
95;2,768;clear;20;20;17,442
58,9;1,429;clear;45;30;9,870462
0;0;cloudy;45;30;0
0;0;cloudy;45;30;0
16,6;1,489;cloudy;20;30;2,92824
213,2;10,071;cloudy;45;30;35,728056
248,6;8,714;cloudy;20;20;45,64296
91,9;2,896;cloudy;20;20;16,87284
104,7;1,664;cloudy;20;10;19,97676
381,2;13,387;cloudy;45;10;69,096312
190,2;6,331;cloudy;20;30;33,55128
364,4;16,549;cloudy;45;30;61,066152
572,8;22,054;cloudy;45;20;99,907776
480,8;18,316;cloudy;45;30;80,572464
483,6;19,489;cloudy;45;10;87,657336
673,8;28,08;cloudy;20;10;128,56104
536,4;21,076;cloudy;20;20;98,48304
536,7;19,629;cloudy;20;30;94,67388
491,6;18,476;cloudy;20;30;86,71824
99,6;0,788;cloudy;20;30;17,56944
279,7;11,076;cloudy;20;30;49,33908
197,8;10,57;cloudy;45;30;33,147324
148,4;5,016;cloudy;20;20;27,24624
0;0;cloudy;20;20;0
149,1;3,338;cloudy;45;30;24,986178
0;0;cloudy;20;20;0
0;0;clear;20;20;0
0;0;clear;45;20;0
11,1;0;clear;45;20;1,936062
87,7;0;clear;20;30;15,47028
23,9;2,12;clear;20;30;4,21596
136,2;6,058;clear;45;30;22,824396
194,9;8,02;clear;45;20;33,994458
332,4;11,574;clear;20;30;58,63536
408,5;13,282;clear;20;10;77,9418
587,4;22,909;clear;45;30;98,436492
665,8;26,581;clear;20;20;122,24088
743,6;29,759;clear;45;10;134,784936
891,6;36,893;clear;20;20;163,69776
928,4;39,579;clear;45;20;161,931528
843;32,888;clear;45;20;147,03606
772,9;28,014;clear;20;30;136,33956
679,2;24,88;clear;45;10;123,111792
536,5;20,144;clear;45;20;93,57633
357,7;14,212;clear;45;10;64,836702
301,1;10,954;clear;20;10;57,44988
180,9;6,537;clear;20;10;34,51572
159,9;3,516;clear;45;20;27,889758
54,9;2,664;clear;45;10;9,951174
94,2;5,472;clear;20;20;17,29512
0;0;cloudy;45;30;0
0;0;cloudy;20;20;0
9,8;0,921;cloudy;45;30;1,642284
47,6;2,258;cloudy;20;30;8,39664
196;3,196;cloudy;20;30;34,5744
59,4;0;cloudy;45;10;10,766844
277,6;8,988;cloudy;20;20;50,96736
82,7;2,154;cloudy;45;10;14,990202
211;8,764;cloudy;45;30;35,35938
572,6;22,806;cloudy;45;30;95,956308
513,2;17,516;cloudy;20;20;94,22352
485,1;18,248;cloudy;45;30;81,293058
500,7;20,194;cloudy;20;10;95,53356
667,6;25,523;cloudy;45;20;116,442792
520,1;23,238;cloudy;20;10;99,23508
676,5;27,927;cloudy;20;30;119,3346
716;28,879;cloudy;45;10;129,78216
356,5;13,311;cloudy;45;10;64,61919
317,6;14,25;cloudy;45;30;53,223408
81,3;4,348;cloudy;45;10;14,736438
203,5;8,901;cloudy;20;10;38,8278
0;0;cloudy;45;10;0
0;0;cloudy;20;30;0
15,7;0;cloudy;45;20;2,738394
0;0;cloudy;20;10;0
0;0;cloudy;20;20;0
0;0;cloudy;20;30;0
10,3;0,829;cloudy;20;20;1,89108
232,9;8,449;cloudy;45;10;42,215454
41;2,331;cloudy;20;10;7,8228
82,1;5,339;cloudy;45;30;13,758318
470,4;18,127;cloudy;20;30;82,97856
325,3;13,888;cloudy;20;10;62,06724
258,2;10,567;cloudy;45;20;45,035244
462;15,742;cloudy;20;30;81,4968
353,8;10,881;cloudy;20;20;64,95768
716,8;27,399;cloudy;45;10;129,927168
577;21,825;cloudy;20;30;101,7828
402,8;14,821;cloudy;20;10;76,85424
577,9;22,948;cloudy;20;30;101,94156
492,1;19,989;cloudy;20;10;93,89268
473;16,034;cloudy;45;20;82,50066
294,8;10,351;cloudy;45;20;51,419016
120,2;2,99;cloudy;45;20;20,965284
0;0;cloudy;20;10;0
0;0;cloudy;20;30;0
0;0;cloudy;20;30;0
0;0;cloudy;45;20;0
0;0;clear;20;10;0
0;0;clear;45;30;0
17,6;3,671;clear;45;30;2,949408
43;2,467;clear;45;10;7,79418
0;0;clear;45;10;0
126,9;3,781;clear;20;20;23,29884
190,6;4,389;clear;20;30;33,62184
179,5;6,514;clear;20;30;31,6638
399,9;16,914;clear;45;30;67,015242
555,4;18,041;clear;45;20;96,872868
715,5;27,833;clear;45;30;119,90349
764,2;32,244;clear;20;10;145,80936
912,4;32,367;clear;20;10;174,08592
973,8;36,857;clear;45;20;169,850196
892,2;33,97;clear;20;30;157,38408
789,5;27,527;clear;20;30;139,2678
716,6;28,001;clear;45;20;124,989372
535,8;19,62;clear;20;30;94,51512
365,5;13,036;clear;45;30;61,25049
331,4;13,89;clear;20;30;58,45896
182,4;7,188;clear;20;20;33,48864
80,3;1,66;clear;45;20;14,005926
27,4;1,292;clear;45;30;4,591692
0;0;clear;20;20;0
0;0;clear;45;10;0
0;0;clear;20;10;0
0;0;clear;20;20;0
80,3;0;clear;45;20;14,005926
119,2;4,329;clear;20;30;21,02688
94,2;3,422;clear;20;30;16,61688
92,2;4,941;clear;45;10;16,712172
265,8;8,087;clear;45;10;48,178908
392,1;13,904;clear;20;10;74,81268
561,2;21,947;clear;45;10;101,723112
737,3;26,601;clear;45;30;123,556734
831,5;33,702;clear;45;30;139,34277
847,3;34,447;clear;45;30;141,990534
899;34,06;clear;20;10;171,5292
876,3;33,141;clear;45;20;152,844246
789,8;29,194;clear;45;20;137,756916
785,9;27,396;clear;45;10;142,452234
507,9;20,295;clear;45;20;88,587918
438,2;18,524;clear;20;30;77,29848
333,6;9,243;clear;20;30;58,84704
201,1;9,309;clear;20;10;38,36988
91,1;3,704;clear;45;30;15,266538
82,3;4,773;clear;45;10;14,917698
80,3;3,085;clear;20;10;15,32124
0;0;clear;45;30;0
0;0;clear;20;10;0
0;0;clear;45;30;0
32,3;2,988;clear;20;20;5,93028
38,8;0,725;clear;45;10;7,032888
139;4,737;clear;45;30;23,29362
118,3;5,107;clear;20;30;20,86812
294,2;11,447;clear;20;30;51,89688
355,6;13,446;clear;20;20;65,28816
569,3;20,732;clear;45;30;95,403294
636,3;24,763;clear;20;20;116,82468
735,5;25,735;clear;45;10;133,31673
833,6;31,545;clear;45;20;145,396512
880,5;34,227;clear;45;20;153,57681
805,9;28,574;clear;45;10;146,077434
725,5;29,594;clear;20;30;127,9782
664,3;24,604;clear;45;30;111,323394
502,9;20,547;clear;20;10;95,95332
325,4;10,375;clear;45;20;56,756268
225,9;9,254;clear;20;20;41,47524
278,8;8,056;clear;20;30;49,18032
68,1;1,866;clear;20;20;12,50316
0;0;clear;20;30;0
112,8;3,634;clear;20;10;21,52224
0;0;cloudy;20;10;0
0;0;cloudy;45;10;0
91,5;3,329;cloudy;20;30;16,1406
44,6;0,831;cloudy;45;20;7,779132
126,9;2,847;cloudy;20;10;24,21252
0;0;cloudy;45;10;0
378;16,151;cloudy;45;20;65,93076
111,9;3,486;cloudy;45;20;19,517598
321,2;12,151;cloudy;20;20;58,97232
393,2;12,878;cloudy;20;20;72,19152
628,8;22;cloudy;20;10;119,97504
510,7;19,702;cloudy;20;30;90,08748
846,2;33,127;cloudy;45;30;141,806196
771,5;28,346;cloudy;45;30;129,28797
708,6;26,366;cloudy;45;30;118,747188
513,4;18,71;cloudy;45;20;89,547228
456,9;19,126;cloudy;45;30;76,567302
621;27,155;cloudy;20;20;114,0156
329,9;10,855;cloudy;20;10;62,94492
152;4,229;cloudy;20;30;26,8128
135,6;3,361;cloudy;45;30;22,723848
0;0;cloudy;20;20;0
0;0;cloudy;20;30;0
0;0;cloudy;45;20;0
0;0;clear;45;20;0
0;0;clear;20;10;0
0;0;clear;45;30;0
75,8;3,043;clear;20;20;13,91688
30,8;2,21;clear;20;20;5,65488
176,2;4,35;clear;45;20;30,732804
246,3;6,933;clear;20;30;43,44732
317,6;11,698;clear;45;20;55,395792
407,1;15,08;clear;20;20;74,74356
549,4;20,352;clear;20;30;96,91416
730,6;27,488;clear;45;20;127,431252
835,3;29,069;clear;45;30;139,979574
917;35,136;clear;20;20;168,3612
866,6;30,187;clear;45;20;151,152372
914,6;35,24;clear;45;30;153,268668
862,7;34,399;clear;20;10;164,60316
699,5;23,594;clear;45;30;117,22221
616,4;24,544;clear;45;20;107,512488
465,5;19,095;clear;45;20;81,19251
262,8;9,712;clear;45;10;47,635128
203,3;6,1;clear;20;30;35,86212
149,7;5,858;clear;20;30;26,40708
64,4;4,679;clear;20;20;11,82384
19,2;0,751;clear;45;10;3,480192
0;0;clear;45;10;0
0;0;clear;45;10;0
0;0;clear;20;10;0
62,9;1,445;clear;45;20;10,971018
55,3;3,123;clear;20;10;10,55124
87,4;3,089;clear;20;10;16,67592
201,6;5,616;clear;45;30;33,784128
232,7;11,02;clear;20;10;44,39916
402,4;15,627;clear;45;20;70,186608
535,4;19,921;clear;20;10;102,15432
670,4;24,801;clear;20;30;118,25856
690,7;24,824;clear;45;30;115,747506
838,6;34,79;clear;20;20;153,96696
774,9;30,728;clear;20;10;147,85092
792,2;30,456;clear;45;10;143,594172
761,2;27,52;clear;20;20;139,75632
570,5;22,636;clear;45;10;103,40883
471,7;16,337;clear;45;10;85,500342
387;13,931;clear;20;10;73,8396
298,9;10,756;clear;45;20;52,134138
163,8;7,873;clear;20;20;30,07368
106,8;5,013;clear;45;10;19,358568
70,3;2,912;clear;45;20;12,261726
54,9;0,928;clear;45;10;9,951174
0;0;clear;45;10;0
0;0;clear;45;20;0
0;0;clear;20;10;0
29,1;0;clear;20;30;5,13324
112,2;1,41;clear;20;20;20,59992
126,1;3,036;clear;20;30;22,24404
156,2;7,274;clear;20;10;29,80296
234,7;8,372;clear;45;30;39,331026
468,2;15,884;clear;20;10;89,33256
569,1;20,027;clear;45;30;95,369778
659,5;23,315;clear;20;10;125,8326
765,1;25,994;clear;20;10;145,98108
820,5;30,257;clear;45;30;137,49939
887,2;36,936;clear;45;10;160,813872
903,4;31,889;clear;20;20;165,86424
825,6;30,044;clear;20;10;157,52448
642;24,126;clear;20;30;113,2488
569,9;20,839;clear;45;30;95,503842
414,5;14,753;clear;20;10;79,0866
306,2;11,578;clear;20;20;56,21832
233,2;8,565;clear;45;20;40,674744
129,9;7,515;clear;20;20;23,84964
107;1,252;clear;20;30;18,8748
103,2;4,682;clear;20;30;18,20448
0;0;clear;45;20;0
0;0;clear;45;20;0
7,9;0,599;clear;20;20;1,45044
5,4;0;clear;20;30;0,95256
92,4;3,882;clear;45;20;16,116408
125,2;5,376;clear;20;20;22,98672
187,4;6,372;clear;45;30;31,404492
278,8;9,665;clear;20;20;51,18768
414,6;13,751;clear;45;30;69,478668
536;18,835;clear;45;30;89,82288
694,8;24,68;clear;20;20;127,56528
809,3;30,939;clear;20;10;154,41444
861;32,892;clear;45;20;150,17562
900,8;35,172;clear;20;20;165,38688
818,9;31,519;clear;20;30;144,45396
721,5;25,388;clear;45;20;125,84403
